target_site.chr,target_gene.start,target_gene.stop,ENSG,gene_short_name,strand,target_site.start,target_site.stop,fold_change.transcript_remaining,pvalue.empirical.adjusted,target_site.strand,mean_ATAC_RPM,PROseq_GB_RPKM,distance,target_promoter.center,target_site.start
chr1,45010840,45011840,ENSG00000126107,HECTD3,-,45583400,45584400,0.99262486,0.992065908,+,23.40041776,1.12884385,572560,45011340,45583900
chr1,46247160,46248160,ENSG00000085999,RAD54L,+,45583400,45584400,0.9920454,0.989708742,+,33.38347526,1.940235864,663760,46247660,45583900
chr1,108559590,108560590,ENSG00000162636,FAM102B,+,109548120,109549120,0.998318059,0.996934332,-,25.61591566,0.660331239,988530,108560090,109548620
chr1,112465760,112466760,ENSG00000134245,WNT2B,+,112955650,112956650,0.988991771,0.995178109,-,29.98606897,0.013046446,489890,112466260,112956150
chr1,145607760,145608760,ENSG00000117262,GPR89A,+,145964470,145965470,0.997965628,0.996527985,-,6.770133499,0.002764949,356710,145608260,145964970
chr1,145918800,145919800,ENSG00000131779,PEX11B,-,145964470,145965470,0.997483173,0.995178109,-,7.659558047,0.005014748,45670,145919300,145964970
chr1,151281590,151282590,ENSG00000143373,ZNF687,+,151763010,151764010,0.993117303,0.993165169,+,25.1423704,2.554479878,481420,151282090,151763510
chr1,151539770,151540770,ENSG00000143367,TUFT1,+,151763010,151764010,0.999738105,0.999606334,+,5.100996388,0.23676634,223240,151540270,151763510
chr1,161130980,161131980,ENSG00000158796,DEDD,-,161153330,161154330,0.995667817,0.994766441,-,0.870854145,0.997980178,22350,161131480,161153830
chr1,161721300,161722300,ENSG00000162746,FCRLB,+,162560850,162561850,0.989115121,0.991495426,-,65.75901748,5.561693271,839550,161721800,162561350
chr1,161749330,161750330,ENSG00000081721,DUSP12,+,161313990,161314990,0.999350338,0.997579238,-,23.09180699,0.671642801,435340,161749830,161314490
chr1,166876070,166877070,ENSG00000152382,TADA1,-,167721320,167722320,0.999693073,0.999133111,-,37.9249161,0.688822626,845250,166876570,167721820
chr1,167220350,167221350,ENSG00000143190,POU2F1,+,167721320,167722320,0.998670386,0.996760958,-,39.72429037,0.470989241,500970,167220850,167721820
chr1,182588790,182589790,ENSG00000135828,RNASEL,-,182391380,182392380,0.9934305,0.994821494,-,57.72976182,0.497817686,197410,182589290,182391880
chr1,201828660,201829660,ENSG00000198700,IPO9,+,202341490,202342490,0.993910143,0.990002015,-,24.32380659,5.813516207,512830,201829160,202341990
chr1,211829890,211830890,ENSG00000123684,LPGAT1,-,212791230,212792230,0.994508834,0.990178419,-,33.75048506,0.317124559,961340,211830390,212791730
chr1,212857790,212858790,ENSG00000162769,FLVCR1,+,212791230,212792230,0.997011079,0.996096716,-,34.63502266,0.842101882,66560,212858290,212791730
chr1,224434080,224435080,ENSG00000162923,WDR26,-,224356370,224357370,0.997074499,0.994180055,+,34.69855298,2.229063816,77710,224434580,224356870
chr10,4825910,4826910,ENSG00000165568,AKR1E2,+,5412020,5413020,0.99163655,0.993118617,+,13.17008068,1.171935376,586110,4826410,5412520
chr10,91797800,91798800,ENSG00000107854,TNKS2,+,91162490,91163490,0.992941258,0.990178904,-,8.344708165,0.577491247,635310,91798300,91162990
chr10,117375110,117376110,ENSG00000165650,PDZD8,-,118341780,118342780,0.991080888,0.990061396,-,14.42456025,0.890318088,966670,117375610,118342280
chr10,119080480,119081480,ENSG00000107581,EIF3A,-,118341780,118342780,0.997470895,0.993192739,-,8.771583078,1.723667407,738700,119080980,118342280
chr11,5595580,5596580,ENSG00000121236,TRIM6,+,5269610,5270610,0.999881102,0.99998655,-,2.983481793,0.517051121,325970,5596080,5270110
chr11,10304570,10305570,ENSG00000148926,ADM,+,10508740,10509740,0.987538628,0.995531161,-,4.918224531,0.148297376,204170,10305070,10509240
chr11,57711790,57712790,ENSG00000213593,TMX2,+,57530460,57531460,0.995632316,0.990178419,+,58.26903654,1.2048497,181330,57712290,57530960
chr11,59754850,59755850,ENSG00000166900,STX3,+,59810320,59811320,0.998238234,0.995178109,+,18.73900235,0.90478522,55470,59755350,59810820
chr11,64184970,64185970,ENSG00000168439,STIP1,+,64240500,64241500,0.997333955,0.996934052,-,37.8542997,4.130541071,55530,64185470,64241000
chr11,64802800,64803800,ENSG00000168067,MAP4K2,-,64240500,64241500,0.997742713,0.996760958,-,28.60575049,0.270838976,562300,64803300,64241000
chr11,64916980,64917980,ENSG00000110046,ATG2A,-,64240500,64241500,0.997268846,0.994000851,-,34.4336804,1.04856355,676480,64917480,64241000
chr11,65040330,65041330,ENSG00000168061,SAC3D1,+,64240500,64241500,0.999277297,0.996760958,-,37.59651319,1.925289535,799830,65040830,64241000
chr11,68803590,68804590,ENSG00000110090,CPT1A,-,68683910,68684910,0.997650869,0.996760958,+,1.439206205,0.17033589,119680,68804090,68684410
chr11,74170670,74171670,ENSG00000168014,C2CD3,-,74948800,74949800,0.988323324,0.991140581,+,34.27412155,0.337042385,778130,74171170,74949300
chr11,75814370,75815370,ENSG00000198382,UVRAG,+,75399090,75400090,0.996197413,0.994214073,+,23.22033372,0.362854813,415280,75814870,75399590
chr11,86955120,86956120,ENSG00000174804,FZD4,-,86068230,86069230,0.998003857,0.998420888,-,87.57899624,0.785684586,886890,86955620,86068730
chr12,21501130,21502130,ENSG00000111711,GOLT1B,+,21657410,21658410,0.995833425,0.993047982,-,25.39307083,0.518258615,156280,21501630,21657910
chr12,53625750,53626750,ENSG00000170653,ATF7,-,52948590,52949590,0.996629103,0.994214073,+,15.86278907,0.477423991,677160,53626250,52949090
chr12,53625750,53626750,ENSG00000170653,ATF7,-,54279700,54280700,0.994555649,0.992571068,-,29.69016426,0.477423991,653950,53626250,54280200
chr12,53727170,53728170,ENSG00000012822,CALCOCO1,-,54279700,54280700,0.986001321,0.990201378,-,22.64147472,0.750716424,552530,53727670,54280200
chr12,77065260,77066260,ENSG00000165891,E2F7,-,76084300,76085300,0.990909536,0.994000851,-,65.60165776,0.740949012,980960,77065760,76084800
chr12,110501670,110502670,ENSG00000111237,VPS29,-,110467920,110468920,0.999513752,0.9982,-,14.43091328,1.443973053,33750,110502170,110468420
chr12,113184980,113185980,ENSG00000123064,DDX54,-,112409100,112410100,0.997516564,0.993299575,-,12.84876385,1.60171294,775880,113185480,112409600
chr12,121015970,121016970,ENSG00000157895,C12orf43,-,120445950,120446950,0.995154653,0.993192739,-,3.877793288,0.526478406,570020,121016470,120446450
chr14,67674380,67675380,ENSG00000100568,VTI1B,-,67359400,67360400,0.997762788,0.993192739,-,22.17477118,0.575733316,314980,67674880,67359900
chr14,96363690,96364690,ENSG00000066739,ATG2B,-,95534310,95535310,0.993909178,0.994214073,-,27.67429819,0.456715785,829380,96364190,95534810
chr14,103384950,103385950,ENSG00000075413,MARK3,+,103522410,103523410,0.996268383,0.990002015,-,6.368915063,0.901869093,137460,103385450,103522910
chr15,43791790,43792790,ENSG00000242028,HYPK,+,44536490,44537490,0.989220123,0.991140581,-,18.64517295,21.25475202,744700,43792290,44536990
chr15,65029140,65030140,ENSG00000103707,MTFMT,-,64093270,64094270,0.993723238,0.991379082,-,9.980614029,0.594694665,935870,65029640,64093770
chr15,77420260,77421260,ENSG00000140382,HMG20A,+,78299060,78300060,0.990995098,0.990178419,-,11.26417094,0.631690382,878800,77420760,78299560
chr15,84600540,84601540,ENSG00000176371,ZSCAN2,+,84715790,84716790,0.991123271,0.991853277,+,29.46438726,0.421923921,115250,84601040,84716290
chr15,90265090,90266090,ENSG00000182768,NGRN,+,90932110,90933110,0.984818031,0.989484347,-,12.28920829,2.126541721,667020,90265590,90932610
chr15,90954260,90955260,ENSG00000166965,RCCD1,+,90932110,90933110,0.996406466,0.991167331,-,32.28586673,1.577414599,22150,90954760,90932610
chr16,23510060,23511060,ENSG00000103365,GGA2,-,23835410,23836410,0.999995095,0.999790632,+,7.768536988,2.507702947,325350,23510560,23835910
chr16,29810750,29811750,ENSG00000167371,PRRT2,+,30429430,30430430,0.964719182,0.990178904,-,6.367448979,1.351199965,618680,29811250,30429930
chr16,29973110,29974110,ENSG00000149930,TAOK2,+,30429430,30430430,0.996786051,0.995022088,-,10.10400947,1.266732934,456320,29973610,30429930
chr16,29994260,29995260,ENSG00000169592,INO80E,+,30429430,30430430,0.997023514,0.993192739,-,4.538264319,1.083755591,435170,29994760,30429930
chr16,30381020,30382020,ENSG00000180096,1-Sep,-,30429430,30430430,0.999283494,0.997579238,-,6.814849074,0.56870435,48410,30381520,30429930
chr16,30893570,30894570,ENSG00000099385,BCL7C,-,30429430,30430430,0.999807957,0.998893065,-,10.99318967,0.737271667,464140,30894070,30429930
chr16,30948640,30949640,ENSG00000175938,ORAI3,+,30429430,30430430,0.995727437,0.991204975,-,7.207515351,7.165138571,519210,30949140,30429930
chr16,66696450,66697450,ENSG00000183723,CMTM4,-,66934020,66935020,0.995564521,0.994483083,+,15.32424739,0.362306484,237570,66696950,66934520
chr16,66934020,66935020,ENSG00000172831,CES2,+,67846080,67847080,0.998530824,0.996760958,-,18.46508891,0.672360278,912060,66934520,67846580
chr16,67159470,67160470,ENSG00000135722,FBXL8,+,67846080,67847080,0.987853366,0.98980714,-,18.9036925,0.808021482,686610,67159970,67846580
chr16,67164170,67165170,ENSG00000102878,HSF4,+,67846080,67847080,0.982394676,0.990178904,-,15.95735151,0.562442006,681910,67164670,67846580
chr16,67247120,67248120,ENSG00000135723,FHOD1,-,66934020,66935020,0.99976832,0.999133111,+,7.182103221,1.989046183,313100,67247620,66934520
chr16,67278950,67279950,ENSG00000196155,PLEKHG4,+,66934020,66935020,0.996675556,0.995372014,+,8.829493413,1.437649793,344930,67279450,66934520
chr17,1829340,1830340,ENSG00000186532,SMYD4,-,1399770,1400770,0.993074707,0.989666404,-,3.62171721,0.374266605,429570,1829840,1400270
chr17,39461190,39462190,ENSG00000167258,CDK12,+,40417530,40418530,0.999786681,0.996934052,-,3.801556898,2.467157285,956340,39461690,40418030
chr17,39687440,39688440,ENSG00000161395,PGAP3,-,38853410,38854410,0.972066357,0.990002015,+,5.747783964,0.317328546,834030,39687940,38853910
chr17,40309050,40310050,ENSG00000131759,RARA,+,40818550,40819550,0.99774071,0.996760958,-,0.860835901,1.025104047,509500,40309550,40819050
chr17,40647590,40648590,ENSG00000073584,SMARCE1,-,40417530,40418530,0.99664014,0.993192739,-,2.776763889,1.369275071,230060,40648090,40418030
chr17,42017000,42018000,ENSG00000168259,DNAJC7,-,42798300,42799300,0.999701724,0.998399017,-,4.668990179,1.748531176,781300,42017500,42798800
chr17,42180960,42181960,ENSG00000089558,KCNH4,-,42798300,42799300,0.995327783,0.997244026,-,2.42856884,0.05742916,617340,42181460,42798800
chr17,42609100,42610100,ENSG00000131462,TUBG1,+,42798300,42799300,0.996560411,0.991180333,-,10.03803567,0.963521551,189200,42609600,42798800
chr17,42823850,42824850,ENSG00000126581,BECN1,-,42798300,42799300,0.996492572,0.993578383,-,3.094415514,1.055335545,25550,42824350,42798800
chr17,44503090,44504090,ENSG00000186566,GPATCH8,-,44324490,44325490,0.996930958,0.993165169,-,7.727486625,1.057049108,178600,44503590,44324990
chr17,44899110,44900110,ENSG00000108883,EFTUD2,-,44324490,44325490,0.995781553,0.98972805,-,5.371977658,1.694122261,574620,44899610,44324990
chr17,47526380,47527380,ENSG00000141279,NPEPPS,+,47208580,47209580,0.999638613,0.998529452,+,2.108962437,1.033308286,317800,47526880,47209080
chr17,48047780,48048780,ENSG00000082641,NFE2L1,+,48546750,48547750,0.99423395,0.993114896,-,19.55438963,4.596621006,498970,48048280,48547250
chr17,48554970,48555970,ENSG00000120093,HOXB3,-,48546750,48547750,0.990349091,0.992571068,-,2.301752538,5.346265505,8220,48555470,48547250
chr17,74775760,74776760,ENSG00000109066,TMEM104,+,74203190,74204190,0.980941883,0.991604584,+,4.402162815,0.798111517,572570,74776260,74203690
chr17,75940590,75941590,ENSG00000188878,FBF1,-,75784390,75785390,0.993905834,0.993680855,-,13.57545302,0.801057408,156200,75941090,75784890
chr17,80100920,80101920,ENSG00000171298,GAA,+,80146830,80147830,0.990263751,0.990002015,+,5.975760092,0.278457256,45910,80101420,80147330
chr18,267490,268490,ENSG00000079134,THOC1,-,657050,658050,0.996781168,0.993824372,-,27.52255845,0.918103802,389560,267990,657550
chr18,46916930,46917930,ENSG00000078043,PIAS2,-,47175810,47176810,0.993621772,0.990002015,-,7.99138182,0.350474522,258880,46917430,47176310
chr18,59139220,59140220,ENSG00000166562,SEC11C,+,59899360,59900360,0.999029034,0.996440734,+,16.44164806,0.163089271,760140,59139720,59899860
chr19,1020730,1021730,ENSG00000182087,TMEM259,-,1605060,1606060,0.999667898,0.998151144,-,11.17278501,1.528273341,584330,1021230,1605560
chr19,1354400,1355400,ENSG00000160953,MUM1,+,1605060,1606060,0.99621087,0.992288423,-,5.433553204,9.093834099,250660,1354900,1605560
chr19,1437790,1438790,ENSG00000115268,RPS15,+,1605060,1606060,0.998748779,0.99348259,-,5.641492844,3.926696095,167270,1438290,1605560
chr19,2236030,2237030,ENSG00000104897,SF3A2,+,1605060,1606060,0.996222172,0.990002015,-,22.66224425,5.585646867,630970,2236530,1605560
chr19,2819250,2820250,ENSG00000172006,ZNF554,+,2236030,2237030,0.984575534,0.990178419,-,10.90669069,0.87612073,583220,2819750,2236530
chr19,4182050,4183050,ENSG00000077463,SIRT6,-,3985180,3986180,0.994564259,0.990002015,+,1.290887331,0.767071115,196870,4182550,3985680
chr19,7394650,7395650,ENSG00000104880,ARHGEF18,+,8005230,8006230,0.995321165,0.994821494,+,3.333387274,0.453623608,610580,7395150,8005730
chr19,9139960,9140960,ENSG00000130803,ZNF317,+,10119490,10120490,0.99419525,0.993192739,-,1.52619388,1.628379034,979530,9140460,10119990
chr19,10286470,10287470,ENSG00000105371,ICAM4,+,10251500,10252500,0.998353877,0.994699587,+,8.401396763,2.808026805,34970,10286970,10252000
chr19,11196570,11197570,ENSG00000197256,KANK2,-,10251500,10252500,0.996107508,0.993904101,+,5.054081687,0.473686532,945070,11197070,10252000
chr19,34254140,34255140,ENSG00000166398,KIAA0355,+,34171990,34172990,0.997281992,0.995531161,-,0,0.660635219,82150,34254640,34172490
chr19,34733830,34734830,ENSG00000197841,ZNF181,+,34171990,34172990,0.998588162,0.997579238,-,5.497327876,0.890255794,561840,34734330,34172490
chr19,34772710,34773710,ENSG00000153896,ZNF599,-,34171990,34172990,0.996192987,0.994766441,-,0.631149342,0.333594129,600720,34773210,34172490
chr19,35140960,35141960,ENSG00000266964,FXYD1,+,34171990,34172990,0.98462384,0.990002015,-,2.456668791,0.134603105,968970,35141460,34172490
chr19,55484630,55485630,ENSG00000090971,NAT14,+,55407370,55408370,0.996688348,0.993263146,-,13.41369504,3.392101217,77260,55485130,55407870
chr2,9630010,9631010,ENSG00000134308,YWHAQ,-,9003470,9004470,0.999975294,0.99852857,+,59.40842848,0.987950674,626540,9630510,9003970
chr2,27663230,27664230,ENSG00000119760,SUPT7L,-,27409300,27410300,0.998340828,0.996029074,+,10.02142005,1.065546365,253930,27663730,27409800
chr2,172084660,172085660,ENSG00000144355,DLX1,+,171686900,171687900,0.993908784,0.996096716,+,48.76465559,1.246950432,397760,172085160,171687400
chr2,237966250,237967250,ENSG00000184182,UBE2F,+,238239610,238240610,0.998650818,0.995429087,-,17.02979226,0.869789983,273360,237966750,238240110
chr20,833050,834050,ENSG00000125898,FAM110A,+,1392670,1393670,0.998988841,0.996934332,-,5.541799104,0.520695359,559620,833550,1393170
chr20,1184960,1185960,ENSG00000125895,TMEM74B,-,1392670,1393670,0.999274856,0.998151144,-,3.799113424,0.285905753,207710,1185460,1393170
chr20,5001000,5002000,ENSG00000089057,SLC23A2,-,5119650,5120650,0.993263907,0.994815287,-,13.69664934,0.194958461,118650,5001500,5120150
chr20,18466540,18467540,ENSG00000132664,POLR3F,+,17968190,17969190,0.993481888,0.992084052,-,20.82108657,0.328200005,498350,18467040,17968690
chr20,32277050,32278050,ENSG00000101350,KIF3B,+,31604720,31605720,0.993716693,0.993263146,+,18.63735383,0.296055866,672330,32277550,31605220
chr20,33489800,33490800,ENSG00000078699,CBFA2T2,+,34111880,34112880,0.998630383,0.996934332,+,15.71104933,0.427453955,622080,33490300,34112380
chr20,57390710,57391710,ENSG00000132819,RBM38,+,57524630,57525630,0.996352679,0.992285307,-,20.77930316,1.51168414,133920,57391210,57525130
chr20,62237810,62238810,ENSG00000130703,OSBPL2,+,62142920,62143920,0.999261954,0.99852857,-,18.19264155,0.42293096,94890,62238310,62143420
chr20,62804360,62805360,ENSG00000060491,OGFR,+,62142920,62143920,0.999493871,0.997711371,-,7.881669836,0.874207437,661440,62804860,62143420
chr20,62937370,62938370,ENSG00000101193,GID8,+,62142920,62143920,0.997118335,0.993047982,-,16.1093356,1.01855981,794450,62937870,62143420
chr21,36384790,36385790,ENSG00000159259,CHAF1B,+,37072530,37073530,0.997347113,0.994483083,-,20.02207056,0.430291305,687740,36385290,37073030
chr21,43426790,43427790,ENSG00000142178,SIK1,-,43776090,43777090,0.998484167,0.998812958,+,5.902944565,0.232884328,349300,43427290,43776590
chr21,43659110,43660110,ENSG00000160208,RRP1B,+,43776090,43777090,0.998796784,0.996127303,+,10.80797434,0.984558702,116980,43659610,43776590
chr22,19178330,19179330,ENSG00000100075,SLC25A1,-,19941200,19942200,0.999007561,0.995347347,-,116.2802866,3.048373016,762870,19178830,19941700
chr22,19478810,19479810,ENSG00000070010,UFD1L,-,19941200,19942200,0.999090612,0.994214073,-,48.50222648,2.249377893,462390,19479310,19941700
chr22,21665580,21666580,ENSG00000100023,PPIL2,+,22558760,22559760,0.998690339,0.995496065,-,44.60293062,3.720413765,893180,21666080,22559260
chr22,35647990,35648990,ENSG00000221963,APOL6,+,36528910,36529910,0.991698192,0.994235057,+,3.768081304,0.106498805,880920,35648490,36529410
chr22,36239070,36240070,ENSG00000128335,APOL2,-,36480890,36481890,0.995929121,0.993904101,-,3.077311195,0.361905273,241820,36239570,36481390
chr22,42519300,42520300,ENSG00000189306,RRP7A,-,43151010,43152010,0.998629354,0.996096716,+,0.957108778,0.735386202,631710,42519800,43151510
chr3,45841820,45842820,ENSG00000163818,LZTFL1,-,44975610,44976610,0.996219737,0.996029074,+,4.747425696,0.242119801,866210,45842320,44976110
chr3,48595300,48596300,ENSG00000114270,COL7A1,-,47781550,47782550,0.995371437,0.996934332,+,23.76669452,0.053798834,813750,48595800,47782050
chr3,48609100,48610100,ENSG00000010256,UQCRC1,-,47781550,47782550,0.998539524,0.990002015,+,25.92770295,1.384366377,827550,48609600,47782050
chr3,48662500,48663500,ENSG00000008300,CELSR3,-,48847430,48848430,0.995688789,0.996029074,+,4.081334675,0.160503493,184930,48663000,48847930
chr3,49120420,49121420,ENSG00000172046,USP19,-,48847430,48848430,0.998378004,0.996857527,+,5.560858201,1.171021441,272990,49120920,48847930
chr3,49170920,49171920,ENSG00000185909,KLHDC8B,+,49411450,49412450,0.998303289,0.994766441,-,18.43039158,1.283941199,240530,49171420,49411950
chr3,49411560,49412560,ENSG00000145022,TCTA,+,48847430,48848430,0.997607286,0.994214073,+,16.1037156,13.93878973,564130,49412060,48847930
chr3,49802690,49803690,ENSG00000185614,FAM212A,+,48847430,48848430,0.995951772,0.994766441,+,11.126359,0.608679859,955260,49803190,48847930
chr3,52455040,52456040,ENSG00000010322,NISCH,+,51995510,51996510,0.99915442,0.998634497,-,2.395337593,1.287593595,459530,52455540,51996010
chr3,101827470,101828470,ENSG00000144802,NFKBIZ,+,101561300,101562300,0.996031687,0.997579238,-,4.841988141,0.966077847,266170,101827970,101561800
chr3,129278310,129279310,ENSG00000183624,HMCES,+,129183520,129184520,0.995664592,0.993507408,+,9.819344743,0.468148873,94790,129278810,129184020
chr3,129315800,129316800,ENSG00000184897,H1FX,-,128488110,128489110,0.999974867,0.998757099,-,12.97142624,6.375825569,827690,129316300,128488610
chr3,142447670,142448670,ENSG00000114127,XRN1,-,141737690,141738690,0.997415042,0.995178109,+,22.76389277,0.68898838,709980,142448170,141738190
chr3,186783030,186784030,ENSG00000156976,EIF4A2,+,187138970,187139970,0.998668,0.994766441,+,31.29528235,444.9008072,355940,186783530,187139470
chr3,196081680,196082680,ENSG00000072274,TFRC,-,196941000,196942000,0.998287255,0.994214073,+,15.83688824,9.928514643,859320,196082180,196941500
chr3,196968320,196969320,ENSG00000119227,PIGZ,-,196081680,196082680,0.9716097,0.990199804,-,22.68716769,0.705422344,886640,196968820,196082180
chr4,55853000,55854000,ENSG00000090989,EXOC1,+,55635840,55636840,0.99468418,0.990002015,-,13.69102935,0.519719896,217160,55853500,55636340
chr4,56386970,56387970,ENSG00000157426,AASDH,-,56435390,56436390,0.998403342,0.997907983,-,62.87669552,0.352379943,48420,56387470,56435890
chr4,158209920,158210920,ENSG00000164124,TMEM144,+,158722840,158723840,0.99112982,0.990002015,-,26.47113157,0.19547369,512920,158210420,158723340
chr4,158768740,158769740,ENSG00000052795,FNIP2,+,158722840,158723840,0.997395442,0.994766441,-,36.48033425,0.314350393,45900,158769240,158723340
chr5,10249440,10250440,ENSG00000150753,CCT5,+,10318980,10319980,0.997164583,0.990291835,+,34.95536211,5.324943848,69540,10249940,10319480
chr5,10249440,10250440,ENSG00000150756,FAM173B,-,10320420,10321420,0.998532246,0.997684708,-,30.07134621,0.661002278,70980,10249940,10320920
chr5,134366710,134367710,ENSG00000006837,CDKL3,-,134004360,134005360,0.993700158,0.994000851,+,26.24559892,0.337843503,362350,134367210,134004860
chr5,140690800,140691800,ENSG00000112855,HARS2,+,140647230,140648230,0.993963824,0.992931532,+,43.16836702,1.023606857,43570,140691300,140647730
chr5,141320270,141321270,ENSG00000178913,TAF7,-,142107980,142108980,0.998557542,0.994235057,-,18.17455985,2.864724337,787710,141320770,142108480
chr5,141636460,141637460,ENSG00000164620,RELL2,+,140647230,140648230,0.997066966,0.994766441,+,48.99800737,0.400749372,989230,141636960,140647730
chr5,141923420,141924420,ENSG00000081791,KIAA0141,+,142713120,142714120,0.998314913,0.996760958,+,30.999622,1.215485496,789700,141923920,142713620
chr5,141968700,141969700,ENSG00000013561,RNF14,+,141691110,141692110,0.994962331,0.992525269,+,38.72295471,1.325151263,277590,141969200,141691610
chr5,141968700,141969700,ENSG00000013561,RNF14,+,142713120,142714120,0.995762992,0.993192739,+,33.12373397,1.325151263,744420,141969200,142713620
chr5,142012360,142013360,ENSG00000113552,GNPDA1,-,142107980,142108980,0.998589799,0.994766441,-,15.88942293,0.649116791,95620,142012860,142108480
chr5,142324670,142325670,ENSG00000187678,SPRY4,-,143248570,143249570,0.980551642,0.993192739,-,23.08911917,1.374828504,923900,142325170,143249070
chr5,142769810,142770810,ENSG00000145819,ARHGAP26,+,142012660,142013660,0.990228957,0.993507408,+,23.96657069,0.160176023,757150,142770310,142013160
chr5,142769810,142770810,ENSG00000145819,ARHGAP26,+,143248980,143249980,0.991386981,0.994235057,-,20.35120651,0.160176023,479170,142770310,143249480
chr5,149357360,149358360,ENSG00000145882,PCYOX1L,+,148808490,148809490,0.988904371,0.993904101,-,19.88279254,1.543751352,548870,149357860,148808990
chr5,149942370,149943370,ENSG00000132915,PDE6A,-,149456230,149457230,0.98298108,0.995178109,-,10.5247757,0.012554447,486140,149942870,149456730
chr5,149960100,149961100,ENSG00000155850,SLC26A2,+,149445610,149446610,0.999517638,0.999133111,-,23.78306579,0.241668039,514490,149960600,149446110
chr5,149960100,149961100,ENSG00000155850,SLC26A2,+,149456230,149457230,0.990018336,0.992288423,-,30.18447906,0.241668039,503870,149960600,149456730
chr5,149960100,149961100,ENSG00000155850,SLC26A2,+,149666970,149667970,0.988363318,0.991604584,-,21.30953703,0.241668039,293130,149960600,149667470
chr5,150449230,150450230,ENSG00000164587,RPS14,-,149550720,149551720,0.999642196,0.996760958,-,38.71537995,5.906675418,898510,150449730,149551220
chr5,154858000,154859000,ENSG00000170271,FAXDC2,-,154654770,154655770,0.998208998,0.996760958,-,32.97688118,1.203824637,203230,154858500,154655270
chr5,172900730,172901730,ENSG00000113719,ERGIC1,+,173850280,173851280,0.994101846,0.990002015,+,3.958672279,0.456625599,949550,172901230,173850780
chr5,172958130,172959130,ENSG00000037241,RPL26L1,+,172802280,172803280,0.996213022,0.990002015,+,13.24485099,5.670561727,155850,172958630,172802780
chr5,172958130,172959130,ENSG00000037241,RPL26L1,+,173885200,173886200,0.998929834,0.996029074,-,7.678861492,5.670561727,927070,172958630,173885700
chr5,172983270,172984270,ENSG00000113732,ATP6V0E1,+,172802280,172803280,0.998075592,0.994214073,+,17.03443486,1.046676077,180990,172983770,172802780
chr5,173328020,173329020,ENSG00000113739,STC2,-,173764180,173765180,0.997619435,0.995251167,-,4.819019485,1.337664463,436160,173328520,173764680
chr5,173887680,173888680,ENSG00000113742,CPEB4,+,173764180,173765180,0.998893291,0.998399017,-,18.56185048,1.05796141,123500,173888180,173764680
chr5,176536990,176537990,ENSG00000146083,RNF44,-,176216860,176217860,0.997250175,0.996438734,-,18.69721894,1.51563923,320130,176537490,176217360
chr5,177086290,177087290,ENSG00000160867,FGFR4,+,177556590,177557590,0.991905112,0.993680855,+,14.48882362,0.418618463,470300,177086790,177557090
chr5,177351310,177352310,ENSG00000169223,LMAN2,-,177116390,177117390,0.997177609,0.993192739,-,8.294861295,1.025119931,234920,177351810,177116890
chr5,177426170,177427170,ENSG00000198055,GRK6,+,178127190,178128190,0.99888969,0.996127303,+,47.60400543,3.332444748,701020,177426670,178127690
